f,mag
-2.479666986871597672e+10,1.284230713907761612e-01
-2.459173871277617645e+10,1.286868484848220362e-01
-2.438680755683637238e+10,1.284174973565671007e-01
-2.418187640089657211e+10,1.276071502945437253e-01
-2.397694524495677185e+10,1.262499108312198914e-01
-2.377201408901696777e+10,1.243419052199064845e-01
-2.356708293307716751e+10,1.218813273035019989e-01
-2.336215177713736725e+10,1.188684765499370133e-01
-2.315722062119756317e+10,1.153057890516149125e-01
-2.295228946525776291e+10,1.111978613094698198e-01
-2.274735830931796265e+10,1.065514666463767829e-01
-2.254242715337815857e+10,1.013755641194937634e-01
-2.233749599743835831e+10,9.568129982658113430e-02
-2.213256484149855804e+10,8.948200052736854371e-02
-2.192763368555875397e+10,8.279315952751127583e-02
-2.172270252961895370e+10,7.563241479951704482e-02
-2.151777137367915344e+10,6.801951934213892881e-02
-2.131284021773934937e+10,5.997630380700988417e-02
-2.110790906179954910e+10,5.152663144866435896e-02
-2.090297790585974884e+10,4.269634548143631803e-02
-2.069804674991994858e+10,3.351320895395497323e-02
-2.049311559398014450e+10,2.400683727897853781e-02
-2.028818443804034424e+10,1.420862358301380052e-02
-2.008325328210054398e+10,4.151657066470767696e-03
-1.987832212616073990e+10,6.129365409098465507e-03
-1.967339097022093964e+10,1.659823426492710446e-02
-1.946845981428113937e+10,2.721732841386259594e-02
-1.926352865834133530e+10,3.794772244409851808e-02
-1.905859750240153503e+10,4.874929946494668126e-02
-1.885366634646173477e+10,5.958086927987173848e-02
-1.864873519052193069e+10,7.040029153113422367e-02
-1.844380403458213043e+10,8.116460344062399745e-02
-1.823887287864233017e+10,9.183015175289373222e-02
-1.803394172270252991e+10,1.023527284690908395e-01
-1.782901056676272583e+10,1.126877099445012381e-01
-1.762407941082292557e+10,1.227901989078311884e-01
-1.741914825488312531e+10,1.326151689472087614e-01
-1.721421709894332123e+10,1.421176109962506429e-01
-1.700928594300352097e+10,1.512526813434544870e-01
-1.680435478706371880e+10,1.599758506796820912e-01
-1.659942363112391853e+10,1.682430536916442454e-01
-1.639449247518411636e+10,1.760108387040958677e-01
-1.618956131924431419e+10,1.832365168699493230e-01
-1.598463016330451393e+10,1.898783104057117643e-01
-1.577969900736471176e+10,1.958954993695854463e-01
-1.557476785142491150e+10,2.012485664812244945e-01
-1.536983669548510933e+10,2.058993394855406500e-01
-1.516490553954530716e+10,2.098111305680698813e-01
-1.495997438360550690e+10,2.129488723362599756e-01
-1.475504322766570473e+10,2.152792498895846895e-01
-1.455011207172590256e+10,2.167708285116223543e-01
-1.434518091578610229e+10,2.173941765291147188e-01
-1.414024975984630013e+10,2.171219828965284260e-01
-1.393531860390649796e+10,2.159291690797160712e-01
-1.373038744796669769e+10,2.137929948288921078e-01
-1.352545629202689552e+10,2.106931574492260095e-01
-1.332052513608709526e+10,2.066118841968808406e-01
-1.311559398014729309e+10,2.015340174492016856e-01
-1.291066282420749092e+10,1.954470923199367605e-01
-1.270573166826769066e+10,1.883414064137787503e-01
-1.250080051232788849e+10,1.802100814390559524e-01
-1.229586935638808823e+10,1.710491164230265038e-01
-1.209093820044828606e+10,1.608574323008238049e-01
-1.188600704450848389e+10,1.496369076765940997e-01
-1.168107588856868362e+10,1.373924055836674707e-01
-1.147614473262888145e+10,1.241317910996036361e-01
-1.127121357668907928e+10,1.098659397015732259e-01
-1.106628242074927902e+10,9.460873627765636895e-02
-1.086135126480947685e+10,7.837706474017933078e-02
-1.065642010886967468e+10,6.119078821804771473e-02
-1.045148895292987442e+10,4.307271983607172117e-02
-1.024655779699007225e+10,2.404858412041727816e-02
-1.004162664105027199e+10,4.146969100431211440e-03
-9.836695485110469818e+09,1.660073079190612852e-02
-9.631764329170667648e+09,3.816038089287759200e-02
-9.426833173230867386e+09,6.049518138580847054e-02
-9.221902017291065216e+09,8.356575109526118150e-02
-9.016970861351264954e+09,1.073302197747176695e-01
-8.812039705411462784e+09,1.317443286370077737e-01
-8.607108549471660614e+09,1.567615388486722494e-01
-8.402177393531859398e+09,1.823331476822234454e-01
-8.197246237592058182e+09,2.084084119939825230e-01
-7.992315081652256966e+09,2.349346786699163803e-01
-7.787383925712455750e+09,2.618575216577626041e-01
-7.582452769772653580e+09,2.891208851808058089e-01
-7.377521613832852364e+09,3.166672327070266801e-01
-7.172590457893051147e+09,3.444377012270704030e-01
-6.967659301953248978e+09,3.723722603756386418e-01
-6.762728146013447762e+09,4.004098759135814589e-01
-6.557796990073646545e+09,4.284886770721904048e-01
-6.352865834133845329e+09,4.565461272470546783e-01
-6.147934678194044113e+09,4.845191975163773979e-01
-5.943003522254241943e+09,5.123445424478922927e-01
-5.738072366314440727e+09,5.399586776495557405e-01
-5.533141210374639511e+09,5.672981585119802883e-01
-5.328210054434837341e+09,5.942997595852288484e-01
-5.123278898495036125e+09,6.209006540290608056e-01
-4.918347742555234909e+09,6.470385925740657074e-01
-4.713416586615433693e+09,6.726520814313338148e-01
-4.508485430675632477e+09,6.976805585903943507e-01
-4.303554274735830307e+09,7.220645679491045632e-01
-4.098623118796029091e+09,7.457459307249821867e-01
-3.893691962856227875e+09,7.686679136051205452e-01
-3.688760806916426182e+09,7.907753931012965198e-01
-3.483829650976624489e+09,8.120150155881308285e-01
-3.278898495036823273e+09,8.323353525151671040e-01
-3.073967339097022057e+09,8.516870502984479341e-01
-2.869036183157220364e+09,8.700229744135474785e-01
-2.664105027217418671e+09,8.872983472299968977e-01
-2.459173871277617455e+09,9.034708791465804190e-01
-2.254242715337816238e+09,9.185008926079818448e-01
-2.049311559398014545e+09,9.323514386057099035e-01
-1.844380403458213091e+09,9.449884052899845122e-01
-1.639449247518411636e+09,9.563806183442992159e-01
-1.434518091578610182e+09,9.664999328005901003e-01
-1.229586935638808727e+09,9.753213160002180970e-01
-1.024655779699007273e+09,9.828229214342709685e-01
-8.197246237592058182e+08,9.889861532258785726e-01
-6.147934678194043636e+08,9.937957210472273539e-01
-4.098623118796029091e+08,9.972396852946501244e-01
-2.049311559398014545e+08,9.993094923764628268e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.049311559398014545e+08,9.993094923764631599e-01
4.098623118796029091e+08,9.972396852946501244e-01
6.147934678194043636e+08,9.937957210472275760e-01
8.197246237592058182e+08,9.889861532258789056e-01
1.024655779699007273e+09,9.828229214342713016e-01
1.229586935638808727e+09,9.753213160002182081e-01
1.434518091578610182e+09,9.664999328005903223e-01
1.639449247518411636e+09,9.563806183442992159e-01
1.844380403458213091e+09,9.449884052899846232e-01
2.049311559398014545e+09,9.323514386057103476e-01
2.254242715337816238e+09,9.185008926079819558e-01
2.459173871277617455e+09,9.034708791465806410e-01
2.664105027217418671e+09,8.872983472299972307e-01
2.869036183157220364e+09,8.700229744135477006e-01
3.073967339097022057e+09,8.516870502984483782e-01
3.278898495036823273e+09,8.323353525151675480e-01
3.483829650976624489e+09,8.120150155881310505e-01
3.688760806916426182e+09,7.907753931012965198e-01
3.893691962856227875e+09,7.686679136051205452e-01
4.098623118796029091e+09,7.457459307249826308e-01
4.303554274735830307e+09,7.220645679491048963e-01
4.508485430675632477e+09,6.976805585903945728e-01
4.713416586615433693e+09,6.726520814313340368e-01
4.918347742555234909e+09,6.470385925740659294e-01
5.123278898495036125e+09,6.209006540290610277e-01
5.328210054434837341e+09,5.942997595852289594e-01
5.533141210374639511e+09,5.672981585119805104e-01
5.738072366314440727e+09,5.399586776495558516e-01
5.943003522254241943e+09,5.123445424478924037e-01
6.147934678194044113e+09,4.845191975163774534e-01
6.352865834133845329e+09,4.565461272470549559e-01
6.557796990073646545e+09,4.284886770721905158e-01
6.762728146013447762e+09,4.004098759135815699e-01
6.967659301953248978e+09,3.723722603756385863e-01
7.172590457893051147e+09,3.444377012270705141e-01
7.377521613832852364e+09,3.166672327070267356e-01
7.582452769772653580e+09,2.891208851808059199e-01
7.787383925712455750e+09,2.618575216577627152e-01
7.992315081652256966e+09,2.349346786699165190e-01
8.197246237592058182e+09,2.084084119939825230e-01
8.402177393531859398e+09,1.823331476822234731e-01
8.607108549471660614e+09,1.567615388486722494e-01
8.812039705411462784e+09,1.317443286370077737e-01
9.016970861351264954e+09,1.073302197747175446e-01
9.221902017291065216e+09,8.356575109526105660e-02
9.426833173230867386e+09,6.049518138580842891e-02
9.631764329170667648e+09,3.816038089287753649e-02
9.836695485110469818e+09,1.660073079190601056e-02
1.004162664105027199e+10,4.146969100431314656e-03
1.024655779699007225e+10,2.404858412041743776e-02
1.045148895292987442e+10,4.307271983607181137e-02
1.065642010886967468e+10,6.119078821804786045e-02
1.086135126480947685e+10,7.837706474017945568e-02
1.106628242074927902e+10,9.460873627765645222e-02
1.127121357668907928e+10,1.098659397015733091e-01
1.147614473262888145e+10,1.241317910996037055e-01
1.168107588856868362e+10,1.373924055836674429e-01
1.188600704450848389e+10,1.496369076765941553e-01
1.209093820044828606e+10,1.608574323008237772e-01
1.229586935638808823e+10,1.710491164230265315e-01
1.250080051232788849e+10,1.802100814390558692e-01
1.270573166826769066e+10,1.883414064137787503e-01
1.291066282420749092e+10,1.954470923199367327e-01
1.311559398014729309e+10,2.015340174492015746e-01
1.332052513608709526e+10,2.066118841968808961e-01
1.352545629202689552e+10,2.106931574492260650e-01
1.373038744796669769e+10,2.137929948288921633e-01
1.393531860390649796e+10,2.159291690797161267e-01
1.414024975984630013e+10,2.171219828965284537e-01
1.434518091578610229e+10,2.173941765291148021e-01
1.455011207172590256e+10,2.167708285116224376e-01
1.475504322766570473e+10,2.152792498895846895e-01
1.495997438360550690e+10,2.129488723362599756e-01
1.516490553954530716e+10,2.098111305680700478e-01
1.536983669548510933e+10,2.058993394855407055e-01
1.557476785142491150e+10,2.012485664812245778e-01
1.577969900736471176e+10,1.958954993695854185e-01
1.598463016330451393e+10,1.898783104057118476e-01
1.618956131924431419e+10,1.832365168699493230e-01
1.639449247518411636e+10,1.760108387040958400e-01
1.659942363112391853e+10,1.682430536916441899e-01
1.680435478706371880e+10,1.599758506796820634e-01
1.700928594300352097e+10,1.512526813434545148e-01
1.721421709894332123e+10,1.421176109962507261e-01
1.741914825488312531e+10,1.326151689472087059e-01
1.762407941082292557e+10,1.227901989078311468e-01
1.782901056676272583e+10,1.126877099445011965e-01
1.803394172270252991e+10,1.023527284690908118e-01
1.823887287864233017e+10,9.183015175289373222e-02
1.844380403458213043e+10,8.116460344062395582e-02
1.864873519052193069e+10,7.040029153113416815e-02
1.885366634646173477e+10,5.958086927987175929e-02
1.905859750240153503e+10,4.874929946494668820e-02
1.926352865834133530e+10,3.794772244409863604e-02
1.946845981428113937e+10,2.721732841386271043e-02
1.967339097022093964e+10,1.659823426492718773e-02
1.987832212616073990e+10,6.129365409098481120e-03
2.008325328210054398e+10,4.151657066470638459e-03
2.028818443804034424e+10,1.420862358301374674e-02
2.049311559398014450e+10,2.400683727897847536e-02
2.069804674991994858e+10,3.351320895395497323e-02
2.090297790585974884e+10,4.269634548143624864e-02
2.110790906179954910e+10,5.152663144866430345e-02
2.131284021773934937e+10,5.997630380700982172e-02
2.151777137367915344e+10,6.801951934213887330e-02
2.172270252961895370e+10,7.563241479951707258e-02
2.192763368555875397e+10,8.279315952751126195e-02
2.213256484149855804e+10,8.948200052736865473e-02
2.233749599743835831e+10,9.568129982658116206e-02
2.254242715337815857e+10,1.013755641194937634e-01
2.274735830931796265e+10,1.065514666463768800e-01
2.295228946525776291e+10,1.111978613094699309e-01
2.315722062119756317e+10,1.153057890516150097e-01
2.336215177713736725e+10,1.188684765499370549e-01
2.356708293307716751e+10,1.218813273035020822e-01
2.377201408901696777e+10,1.243419052199065122e-01
2.397694524495677185e+10,1.262499108312199747e-01
2.418187640089657211e+10,1.276071502945437530e-01
2.438680755683637238e+10,1.284174973565670730e-01
2.459173871277617645e+10,1.286868484848220362e-01
2.479666986871597672e+10,1.284230713907762167e-01
