f,mag
-2.480382775118750000e+10,6.346187842360735409e-01
-2.459968102071875000e+10,6.833254414305601765e-01
-2.439553429028125000e+10,7.432048849626325948e-01
-2.419138755981250000e+10,7.927111452660783320e-01
-2.398724082934375000e+10,8.281657088746348094e-01
-2.378309409887500000e+10,8.514025466824489685e-01
-2.357894736840625000e+10,8.659284547826761047e-01
-2.337480063796875000e+10,8.727663612736382692e-01
-2.317065390750000000e+10,8.737675729004729108e-01
-2.296650717703125000e+10,8.670585549688513138e-01
-2.276236044656250000e+10,8.520496041418453848e-01
-2.255821371609375000e+10,8.213283246824889527e-01
-2.235406698565625000e+10,7.650643330047206536e-01
-2.214992025518750000e+10,6.521279876072700876e-01
-2.194577352471875000e+10,4.274995575227917843e-01
-2.174162679425000000e+10,8.262992420037337804e-02
-2.153748006378125000e+10,4.279266113887798539e-01
-2.133333333334375000e+10,6.986111371680030491e-01
-2.112918660287500000e+10,8.266931323724409086e-01
-2.092503987240625000e+10,8.898354429066627214e-01
-2.072089314193750000e+10,9.217332895952811134e-01
-2.051674641146875000e+10,9.408843479159076928e-01
-2.031259968103125000e+10,9.518065489029449155e-01
-2.010845295056250000e+10,9.595812074799117131e-01
-1.990430622009375000e+10,9.642395168617384771e-01
-1.970015948962500000e+10,9.680298063763911331e-01
-1.949601275915625000e+10,9.702665884408054886e-01
-1.929186602871875000e+10,9.723087122572139362e-01
-1.908771929825000000e+10,9.734022703764794171e-01
-1.888357256778125000e+10,9.745255161581938275e-01
-1.867942583731250000e+10,9.749697566910142665e-01
-1.847527910684375000e+10,9.755189198246869697e-01
-1.827113237640625000e+10,9.755099489336270802e-01
-1.806698564593750000e+10,9.756227823275246402e-01
-1.786283891546875000e+10,9.752115141709281065e-01
-1.765869218500000000e+10,9.749060507667245412e-01
-1.745454545453125000e+10,9.740367548739317094e-01
-1.725039872409375000e+10,9.732182366577941668e-01
-1.704625199362500000e+10,9.716998858281105100e-01
-1.684210526315625000e+10,9.700948946158494124e-01
-1.663795853268750000e+10,9.674746871983460617e-01
-1.643381180221875000e+10,9.644136668041458638e-01
-1.622966507178125000e+10,9.595895117413204556e-01
-1.602551834131250000e+10,9.533154194705890649e-01
-1.582137161084375000e+10,9.432287145969401321e-01
-1.561722488037500000e+10,9.283381505864759520e-01
-1.541307814990625000e+10,9.026362953421934732e-01
-1.520893141946875000e+10,8.584567602552534149e-01
-1.500478468900000000e+10,7.736520806102671344e-01
-1.480063795853125000e+10,6.138444697232031677e-01
-1.459649122806250000e+10,3.665504100262453879e-01
-1.439234449759375000e+10,3.140428917141840359e-01
-1.418819776715625000e+10,5.185730159076495926e-01
-1.398405103668750000e+10,6.670092062698175228e-01
-1.377990430621875000e+10,7.520495200334882391e-01
-1.357575757575000000e+10,7.991198945967148415e-01
-1.337161084528125000e+10,8.267271906783913993e-01
-1.316746411484375000e+10,8.420260420842300420e-01
-1.296331738437500000e+10,8.506148253819151295e-01
-1.275917065390625000e+10,8.542309801386634982e-01
-1.255502392343750000e+10,8.551903983761440786e-01
-1.235087719296875000e+10,8.543758189861525576e-01
-1.214673046253125000e+10,8.532480025574572524e-01
-1.194258373206250000e+10,8.527235315642299751e-01
-1.173843700159375000e+10,8.535691029056123869e-01
-1.153429027112500000e+10,8.562012073945364232e-01
-1.133014354065625000e+10,8.601631305321539855e-01
-1.112599681021875000e+10,8.652156794992790223e-01
-1.092185007975000000e+10,8.702420329950384392e-01
-1.071770334928125000e+10,8.752222642100458971e-01
