t,Re_p1,Im_p1,Re_p2,Im_p2,g_t
-1.000000000000000000e+00,2.455878029777952770e-04,1.703368909577436074e-04,3.622771366846707985e-05,1.637672289248926795e-04,0.000000000000000000e+00
-9.843750000000000000e-01,-2.507513738449476865e-04,-1.727140844493714868e-04,-3.530580623929591464e-05,-1.687301717343107649e-04,0.000000000000000000e+00
-9.687500000000000000e-01,2.553333543202202481e-04,1.768245080499952348e-04,3.505698832305251185e-05,1.722831427633228821e-04,0.000000000000000000e+00
-9.531250000000000000e-01,-2.582540310580975248e-04,-1.806890932978620753e-04,-3.654948628260242725e-05,-1.763702066854071725e-04,0.000000000000000000e+00
-9.375000000000000000e-01,2.612351908489368214e-04,1.828332100998336380e-04,3.806247879057222808e-05,1.824652900959507153e-04,0.000000000000000000e+00
-9.218750000000000000e-01,-2.660905320248105137e-04,-1.846337752658009572e-04,-3.777928218871935744e-05,-1.891516372902539943e-04,0.000000000000000000e+00
-9.062500000000000000e-01,2.718594388826562377e-04,1.881559432083887158e-04,3.676245028681547530e-05,1.943283758894091037e-04,0.000000000000000000e+00
-8.906250000000000000e-01,-2.763240261785117162e-04,-1.928909138794332066e-04,-3.734766152995036629e-05,-1.986430794869074553e-04,0.000000000000000000e+00
-8.750000000000000000e-01,2.795243940084104410e-04,1.965567635529428170e-04,3.937420786507510719e-05,2.045805884996237034e-04,0.000000000000000000e+00
-8.593750000000000000e-01,-2.837125030196710387e-04,-1.987089818511328636e-04,-4.033083461979913712e-05,-2.124963613061168675e-04,0.000000000000000000e+00
-8.437500000000000000e-01,2.898100301967118761e-04,2.014555368477134072e-04,3.936520839551919785e-05,2.199543569655537027e-04,0.000000000000000000e+00
-8.281250000000000000e-01,-2.959597514184720852e-04,-2.061430710284702637e-04,-3.876575867183523337e-05,-2.256157022930591570e-04,0.000000000000000000e+00
-8.125000000000000000e-01,3.004610708393576769e-04,2.112379525085793317e-04,4.036064963323387789e-05,2.315188634170978568e-04,0.000000000000000000e+00
-7.968750000000000000e-01,-3.044632636033013390e-04,-2.147480318259120885e-04,-4.249451548748509858e-05,-2.399292894825709162e-04,0.000000000000000000e+00
-7.812500000000000000e-01,3.101719896868647235e-04,2.173676870061013887e-04,4.257580041220234270e-05,2.496611311503095054e-04,0.000000000000000000e+00
-7.656250000000000000e-01,-3.173952894360023390e-04,-2.213978457553689454e-04,-4.129104619705878035e-05,-2.578860395373581190e-04,0.000000000000000000e+00
-7.500000000000000000e-01,3.238594794780728773e-04,2.271418595835577475e-04,4.164714368146208963e-05,2.647362430666805604e-04,0.000000000000000000e+00
-7.343750000000000000e-01,-3.287940547938369854e-04,-2.324422635647125843e-04,-4.415030721056348897e-05,-2.732809829968349037e-04,0.000000000000000000e+00
-7.187500000000000000e-01,3.341540469561859279e-04,2.360756844191595088e-04,4.584668692165755723e-05,2.846756372763033097e-04,0.000000000000000000e+00
-7.031250000000000000e-01,-3.415766461040691828e-04,-2.396783538136430206e-04,-4.500441796901036604e-05,-2.962078218355353805e-04,0.000000000000000000e+00
-6.875000000000000000e-01,3.498445809223360938e-04,2.451987899773353029e-04,4.403411859010823200e-05,3.056079751308387639e-04,0.000000000000000000e+00
-6.718750000000000000e-01,-3.568143814894530943e-04,-2.518741288707221663e-04,-4.574843885507621751e-05,-3.148670876325328823e-04,0.000000000000000000e+00
-6.562500000000000000e-01,3.627785538256665492e-04,2.574433321091069201e-04,4.875744760173802349e-05,3.272517169177627597e-04,0.000000000000000000e+00
-6.406250000000000000e-01,-3.700284990117440375e-04,-2.616823018384996759e-04,-4.953433597765452161e-05,-3.420602356833912479e-04,0.000000000000000000e+00
-6.250000000000000000e-01,3.793227448099947916e-04,2.667632501869241228e-04,4.811734397626493193e-05,3.556331840327954063e-04,0.000000000000000000e+00
-6.093750000000000000e-01,-3.887514618776567320e-04,-2.739060007537771164e-04,-4.825612542630290918e-05,-3.673029362400919784e-04,0.000000000000000000e+00
-5.937500000000000000e-01,3.967284492313055840e-04,2.815245608762666110e-04,5.144770200021096292e-05,3.807555510843606901e-04,0.000000000000000000e+00
-5.781250000000000000e-01,-4.044672633350356234e-04,-2.877054376727447506e-04,-5.434772757971480597e-05,-3.982982166005810589e-04,0.000000000000000000e+00
-5.625000000000000000e-01,4.141475944249986617e-04,2.931746622412763521e-04,5.402269803747597140e-05,4.170801240768313403e-04,0.000000000000000000e+00
-5.468750000000000000e-01,-4.256196927807726548e-04,-3.002076949531409670e-04,-5.283402492511601032e-05,-4.336192177106278425e-04,0.000000000000000000e+00
-5.312500000000000000e-01,4.366885190610315872e-04,3.091872913339352674e-04,5.486857841799165544e-05,4.496540279895457548e-04,0.000000000000000000e+00
-5.156250000000000000e-01,-4.465101633353457970e-04,-3.180608936820888901e-04,-5.930580319140712386e-05,-4.697358655533712059e-04,0.000000000000000000e+00
-5.000000000000000000e-01,4.569344566402101142e-04,3.254953109071734600e-04,6.149736867634989022e-05,4.940418107515662195e-04,0.000000000000000000e+00
-4.843750000000000000e-01,-4.697821930200964027e-04,-3.329436892709557280e-04,-6.044842845417353560e-05,-5.180006643113589746e-04,0.000000000000000000e+00
-4.687500000000000000e-01,4.841722766810537177e-04,3.425252957232853687e-04,6.072344980995439450e-05,5.397774710831433793e-04,0.000000000000000000e+00
-4.531250000000000000e-01,-4.978990586873728846e-04,-3.539012072533482709e-04,-6.527175466149039531e-05,-5.637278444027816159e-04,0.000000000000000000e+00
-4.375000000000000000e-01,5.108193394903155554e-04,3.648050810866777923e-04,7.047502062073297759e-05,5.938488028291093006e-04,0.000000000000000000e+00
-4.218750000000000000e-01,-5.252268878394131561e-04,-3.744733277978483854e-04,-7.176797030829918213e-05,-6.274361274628398582e-04,0.000000000000000000e+00
-4.062500000000000000e-01,5.426137051653843676e-04,3.849289675449718605e-04,7.120834546599513900e-05,6.594845553656629661e-04,0.000000000000000000e+00
-3.906250000000000000e-01,-5.615291779213156574e-04,-3.981642359662074617e-04,-7.456856213918473743e-05,-6.912539323437805932e-04,0.000000000000000000e+00
-3.750000000000000000e-01,5.797580222308969071e-04,4.132475266385453772e-04,8.207165257173721490e-05,7.290713034286617263e-04,0.000000000000000000e+00
-3.593750000000000000e-01,-5.978050369494737268e-04,-4.276570952117386280e-04,-8.772938075643263553e-05,-7.747018691868146805e-04,0.000000000000000000e+00
-3.437500000000000000e-01,6.185774732166198983e-04,4.411366218620176223e-04,8.898579592335840581e-05,8.227265085737124096e-04,0.000000000000000000e+00
-3.281250000000000000e-01,-6.434245136965895768e-04,-4.565029675291675296e-04,-9.135394213262503871e-05,-8.698056310888377341e-04,0.000000000000000000e+00
-3.125000000000000000e-01,6.701600558983358130e-04,4.758658319560981546e-04,9.996870838725278993e-05,9.212829224090662763e-04,0.000000000000000000e+00
-2.968750000000000000e-01,-6.963578728617042350e-04,-4.974855181740766566e-04,-1.111842987481203020e-04,-9.839587028185926582e-04,0.000000000000000000e+00
-2.812500000000000000e-01,7.235873245620576049e-04,5.182438220165343137e-04,1.182490852074138368e-04,1.056099648062401282e-03,0.000000000000000000e+00
