t_samples_puf1,z_samples_puf1
9.84375e-11,6.117900648525482e-05
1.9843750000000002e-10,2.3295718973087757e-05
2.9843750000000004e-10,2.0442010949393812e-05
3.984375e-10,3.485423681901039e-05
4.984375e-10,5.346349744108947e-05
5.984375e-10,1.162564587239473e-05
6.984375e-10,3.551051345249111e-05
7.984375e-10,5.249973862610636e-05
8.984375000000001e-10,3.2196521422146096e-05
9.984375e-10,5.580148387476727e-05
1.0984375e-09,9.662354223230848e-05
1.1984375e-09,2.3298177332638445e-05
1.2984375000000001e-09,3.555198451058215e-05
1.3984375e-09,1.583140996493008e-05
1.4984375e-09,2.3902831771908957e-05
1.5984375000000001e-09,5.15903724414526e-05
1.6984375e-09,2.7591853164751294e-05
1.7984375e-09,3.324702687092494e-05
1.8984375e-09,6.432448318546664e-05
1.9984375e-09,1.740199939398151e-05
2.0984375e-09,9.362440142968534e-06
2.1984375e-09,3.2176069412222076e-05
2.2984375000000002e-09,5.372489646957005e-05
2.3984375000000003e-09,3.0330788633639305e-05
2.4984375e-09,3.209796403392552e-05
2.5984375e-09,2.627534656756523e-05
2.6984375e-09,5.728788216955127e-05
2.7984375e-09,9.70585931879832e-05
2.8984375000000002e-09,3.0334913983296637e-05
2.9984375000000003e-09,2.144774992401803e-05
3.0984375e-09,2.937983530622107e-05
3.1984375e-09,5.853204958533965e-05
