t_z,z_t_puf1,z_t_puf2
0.0,6.652555226957915e-05,5.916645347323285e-05
1.5625e-12,6.635549682782287e-05,5.9514174079207795e-05
3.125e-12,6.601674157508992e-05,5.966826622402877e-05
4.6875e-12,6.693566616711378e-05,6.0322899756964175e-05
6.25e-12,6.714520727571795e-05,6.0219317392165136e-05
7.8125e-12,6.588198506043084e-05,6.051198812746707e-05
9.375e-12,6.579792694312942e-05,6.091839145274411e-05
1.0937500000000001e-11,6.535433733792124e-05,6.0488730106286065e-05
1.25e-11,6.486495469277696e-05,5.975473404869328e-05
1.40625e-11,6.445040119613711e-05,5.9825685163549124e-05
1.5625e-11,6.379927784547776e-05,6.039351491126692e-05
1.7187500000000002e-11,6.358304260162654e-05,6.0725529993637775e-05
1.875e-11,6.242609636908302e-05,6.067784988352866e-05
2.03125e-11,6.273714648217614e-05,6.065100279893374e-05
2.1875000000000002e-11,6.26641055672975e-05,6.0221471688866485e-05
2.34375e-11,6.185475632727363e-05,6.006446900542424e-05
2.5e-11,6.265633005777238e-05,6.02170669744286e-05
2.6562500000000002e-11,6.289430764952293e-05,6.019686638834914e-05
2.8125e-11,6.280509088099383e-05,6.0223815788451754e-05
2.96875e-11,6.267930201071594e-05,6.0575101084060266e-05
3.125e-11,6.309825432950636e-05,5.962626728450231e-05
3.28125e-11,6.245678848813301e-05,5.952191806503423e-05
3.4375000000000004e-11,6.252510975503896e-05,6.001189362410898e-05
3.59375e-11,6.252081764991516e-05,5.987469633535099e-05
3.75e-11,6.23891873009854e-05,5.932669577709387e-05
3.90625e-11,6.259222270473161e-05,5.87378336396941e-05
4.0625e-11,6.233850360763899e-05,5.819627373086323e-05
4.21875e-11,6.282997086798756e-05,5.798549737034797e-05
4.3750000000000004e-11,6.299623445999462e-05,5.906832480430305e-05
4.53125e-11,6.341900703911103e-05,5.899359624413286e-05
4.6875e-11,6.390722005082554e-05,5.872542372595869e-05
4.84375e-11,6.409226592330164e-05,5.843085113460228e-05
5e-11,6.436911418079498e-05,5.87154139538702e-05
5.15625e-11,6.469687851523874e-05,5.806168798933091e-05
5.3125000000000004e-11,6.480392279171989e-05,5.736298560543317e-05
5.4687500000000005e-11,6.548867034784124e-05,5.728268162103668e-05
5.625e-11,6.564418553632575e-05,5.673458962887527e-05
5.78125e-11,6.643289333732197e-05,5.7070060458152754e-05
5.9375e-11,6.545547809340497e-05,5.794941106314693e-05
