f,neff(real),neff(imag),loss,beta(real),beta(imag),overlap
1.998616386667e+14,2.529396884816e+00,1.193059317655e-09,4.340751791304e-02,1.059511289513e+07,4.997475183522e-03,9.999999978647e-01
1.984737106204e+14,2.518160733245e+00,1.260382618682e-09,4.553851529007e-02,1.047479668701e+07,5.242815323199e-03,9.999344841650e-01
1.970857825741e+14,2.506694963746e+00,1.333413705338e-09,4.784027673742e-02,1.035418570899e+07,5.507815403015e-03,9.999397392980e-01
1.956978545278e+14,2.494991280047e+00,1.412814266912e-09,5.033204876270e-02,1.023326597166e+07,5.794691259042e-03,9.999450412285e-01
1.943099264815e+14,2.483040809406e+00,1.499344943203e-09,5.303590928632e-02,1.011202210329e+07,6.105984705804e-03,9.999503552435e-01
1.929219984352e+14,2.470834030040e+00,1.593883683769e-09,5.597728741451e-02,9.990437140232e+06,6.444623377345e-03,9.999556384519e-01
1.915340703889e+14,2.458360685397e+00,1.697448218694e-09,5.918559873722e-02,9.868492277203e+06,6.813993868613e-03,9.999608380720e-01
1.901461423426e+14,2.445609682010e+00,1.811223730061e-09,6.269502658285e-02,9.746166567086e+06,7.218031680727e-03,9.999658892896e-01
1.887582142963e+14,2.432568967034e+00,1.936597149440e-09,6.654548900655e-02,9.623436558157e+06,7.661332549624e-03,9.999707125989e-01
1.873702862500e+14,2.419225380375e+00,2.075199962133e-09,7.078384394568e-02,9.500275852957e+06,8.149291194707e-03,9.999752104764e-01

f_vg,vg
1.991676746435e+14,7.248075088206e+07
1.977797465972e+14,7.230360992812e+07
1.963918185509e+14,7.211898818684e+07
1.950038905046e+14,7.192618665795e+07
1.936159624583e+14,7.172440480126e+07
1.922280344120e+14,7.151272215440e+07
1.908401063657e+14,7.129007548388e+07
1.894521783194e+14,7.105523077893e+07
1.880642502731e+14,7.080674874115e+07

f_D,D
1.984737106204e+14,3.200034334088e-03
1.970857825741e+14,3.305188053256e-03
1.956978545278e+14,3.421041061173e-03
1.943099264815e+14,3.549199775380e-03
1.929219984352e+14,3.691567753808e-03
1.915340703889e+14,3.850421221012e-03
1.901461423426e+14,4.028496835774e-03
1.887582142963e+14,4.229103930470e-03

